tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
86.7847;3;Parado;0;1;61;0;0;40;0;0;
87.2901;3;Parado;0;1;61;0;0;40;0;0;
87.7941;3;Parado;0;1;61;0;0;40;0;0;
88.2999;3;Parado;0;1;61;0;0;40;0;0;
88.8043;3;Parado;0;1;61;0;0;40;0;0;
89.3088;3;Parado;0;1;61;0;0;40;0;0;
89.8141;3;Parado;0;1;61;0;0;40;0;0;
90.3181;3;Parado;0;1;61;0;0;40;0;0;
90.8231;3;Parado;0;1;61;0;0;40;0;0;
91.3259;3;Parado;0;1;61;0;0;40;0;0;
91.8327;3;Parado;0;1;61;0;0;40;0;0;
92.3364;3;Parado;0;1;61;0;0;40;0;0;
92.8389;3;Parado;0;1;61;0;0;40;0;0;
93.3446;3;Parado;0;1;61;0;0;40;0;0;
93.849;3;Parado;0;1;61;0;0;40;0;0;
